"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "POSTSEASON" "post"
"Abilene_Christian" "Slnd" 27 9 18 0.333333333333333 0.1529 -14.4 68.4 96.3 111.8 0.861359570661896 50.5 54.6 0.924908424908425 19.2 19.2 1 24.5 27.6 40.3 46.5 0.866666666666667 48.4 54.2 36.3 36.9 1971 10 276 0.489 1 0 0 "no_postseason" "no"
"Air_Force" "MWC" 30 12 18 0.4 0.306 -10.9 67.9 98.1 105.4 0.930740037950664 48 51.8 0.926640926640927 18.8 19.4 0.969072164948454 24.3 28.1 39.6 37.2 1.06451612903226 47 51.3 33.4 34.9 1958 62 1685 0.437 4 0 0 "no_postseason" "no"
"Akron" "MAC" 34 25 9 0.735294117647059 0.7187 -1.4 68.3 109 100.5 1.08457711442786 52.7 46.8 1.12606837606838 15.5 16.7 0.92814371257485 28.5 30.4 30.6 32.4 0.944444444444445 48 47.5 38.2 30.1 1902 69 1575 0.589 4 0 0 "no_postseason" "no"
"Alabama" "SEC" 33 18 15 0.545454545454545 0.7387 -0.6 65.7 105.4 96.3 1.0944963655244 49.6 46.6 1.06437768240343 19.9 18.2 1.09340659340659 28.3 34.6 40.7 39.1 1.04092071611253 48.5 45.1 33.9 32.9 2000 21 591 0.384 1 0 0 "no_postseason" "no"
"Alabama_A&M" "SWAC" 28 10 18 0.357142857142857 0.1599 -15.1 66.2 98.3 113.6 0.865316901408451 46.6 50.5 0.922772277227723 17.6 17 1.03529411764706 31.6 31.7 38.4 39.5 0.972151898734177 49 51.7 28.4 32.1 1913 107 2737 0.615 21 0 0 "no_postseason" "no"
"Alabama_St." "SWAC" 29 12 17 0.413793103448276 0.197 -13.1 69.8 98 110.8 0.884476534296029 45.8 51.2 0.89453125 17.2 18.3 0.939890710382514 31.4 30 31.7 45 0.704444444444444 43.6 51.6 33.3 33.7 1983 38 1109 0.481 4 0 0 "no_postseason" "no"
"Albany" "AE" 32 23 9 0.71875 0.5703 -4 67.3 104.7 102.1 1.0254652301665 50.7 48.7 1.04106776180698 18.4 18.7 0.983957219251337 34.8 25.6 43.3 27.2 1.59191176470588 51.8 50.2 32.3 30.9 2000 21 641 0.498 5 0 0 "no_postseason" "no"
"Alcorn_St." "SWAC" 28 13 15 0.464285714285714 0.1647 -11.5 66.5 96.8 111.5 0.868161434977578 45.6 51 0.894117647058824 21.1 17.3 1.21965317919075 34.8 31.9 38.4 39.7 0.967254408060453 45.3 48.6 30.8 37 1978 43 1256 0.431 6 0 0 "no_postseason" "no"
"American" "Pat" 31 12 19 0.387096774193548 0.1433 -14.1 62.2 91.4 106.8 0.855805243445693 49 51.6 0.949612403100775 22.1 19.2 1.15104166666667 23.5 30.2 31.7 40.1 0.790523690773067 47.7 53.7 34.1 31.1 1967 54 1515 0.49 3 0 0 "no_postseason" "no"
"Appalachian_St." "SB" 31 9 22 0.290322580645161 0.2554 -15.2 71.3 100.8 110.6 0.911392405063291 47.2 51.2 0.921875 21 15.9 1.32075471698113 33 32.3 39.1 39.8 0.982412060301508 43.1 48.8 35.6 38.6 1974 47 1366 0.487 2 0 0 "no_postseason" "no"
