"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "post"
"San_Jose_St." "MWC" 17 6 11 0.352941176470588 0.2717 -6.4 72.5 95.7 104.2 0.918426103646833 45.3 51.6 0.877906976744186 20.5 16.5 1.24242424242424 28 30.2 34.2 33.5 1.02089552238806 46.1 51.4 29.5 34.7 1938 70 1904 0.399 2 0 0 NA
"Santa_Clara" "WCC" 15 13 2 0.866666666666667 0.6601 0.2 72.7 103.9 98 1.06020408163265 55.8 46.4 1.20258620689655 20.4 21.9 0.931506849315068 22.8 25.2 34.5 38.7 0.891472868217054 56.6 42.2 36.2 37.1 1909 111 2616 0.574 11 1 0 NA
"Seattle" "WAC" 16 6 10 0.375 0.2926 -5.9 69.4 92.9 100.3 0.926221335992024 42.3 49.8 0.849397590361446 15.1 18.8 0.803191489361702 27.3 24.1 32.5 38.6 0.841968911917098 42.3 52 28.1 30.5 1953 38 1052 0.588 11 1 0 NA
"Seton_Hall" "BE" 14 10 4 0.714285714285714 0.8868 1 71 104.2 87.1 1.1963260619977 51.5 43.2 1.19212962962963 19.7 21.8 0.903669724770642 28.3 29.6 34.2 34.7 0.985590778097983 50.9 42.9 34.9 29.2 1909 107 2612 0.583 13 1 0 NA
"Siena" "MAAC" 16 7 9 0.4375 0.4415 -3.5 70.4 100.7 102.8 0.979571984435798 49.3 51.8 0.951737451737452 19.2 17.6 1.09090909090909 29.7 20.8 35.7 30.1 1.18604651162791 49.1 50.6 33.2 36 1939 62 1692 0.546 6 0 0 NA
"SIU_Edwardsville" "OVC" 15 4 11 0.266666666666667 0.1061 -8 69.4 91.4 110.1 0.830154405086285 47.1 54.4 0.865808823529412 19.3 20 0.965 22.5 30.1 27.4 39.2 0.698979591836735 47.9 53.7 30.3 36.9 2011 20 278 0.311 0 0 0 NA
"SMU" "Amer" 13 11 2 0.846153846153846 0.7596 0.1 66.1 109.7 99.3 1.10473313192346 53.9 47 1.1468085106383 19.9 18.2 1.09340659340659 35.9 26.8 32.2 24.6 1.30894308943089 55.8 44.1 33.8 33.7 1917 104 2583 0.525 12 1 0 NA
"South_Alabama" "SB" 13 8 5 0.615384615384615 0.4099 -4.3 66.8 103.6 107 0.968224299065421 50.7 52.5 0.965714285714286 18.1 17.9 1.01117318435754 24.8 29.6 38.2 24.7 1.54655870445344 53.1 52.2 30.6 35.2 1972 49 1420 0.56 8 0 0 NA
"South_Carolina" "SEC" 14 8 6 0.571428571428571 0.6509 2.4 72.8 99.8 94.6 1.05496828752643 47.5 45.2 1.05088495575221 19.1 21.9 0.872146118721461 32.6 28.1 34.2 46.6 0.733905579399142 49.6 43.6 28.5 31.8 1909 112 2695 0.532 9 1 0 NA
"South_Carolina_St." "MEAC" 14 6 8 0.428571428571429 0.1776 -5 68.4 96.2 109.9 0.875341219290264 44.4 54.7 0.811700182815356 20.3 17 1.19411764705882 26.3 28.9 37.5 33.6 1.11607142857143 45.9 57.6 27.5 33.5 1972 49 1431 0.484 5 0 0 NA
