"YEAR" "TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "POSTSEASON" "post"
"2015" "Maine" "AE" 30 3 27 0.1 0.0863 -20.9 66.6 92.3 113.3 0.814651368049426 46.7 55.8 0.836917562724014 21.6 19 1.13684210526316 23.5 31.7 27.7 36.6 0.756830601092896 45.5 55.6 32.6 37.4 1904 76 1754 0.457 2 0 0 "no_postseason" "no"
"2015" "Manhattan" "MAAC" 33 19 14 0.575757575757576 0.5238 -7.6 68 100.2 99.4 1.00804828973843 49.4 48.1 1.02702702702703 21.1 23.9 0.882845188284519 30.9 33.1 47.4 52.3 0.906309751434034 48.8 48 33.6 32.4 1905 114 2623 0.522 8 0 0 "R68" "yes"
"2015" "Marist" "MAAC" 32 7 25 0.21875 0.1926 -19.9 65.3 91.9 104.1 0.882804995196926 46.8 49.6 0.943548387096774 20.5 20.8 0.985576923076923 21.2 35.6 38 36.7 1.03542234332425 46.4 49.6 31.5 33.1 1982 39 1135 0.437 2 0 0 "no_postseason" "no"
"2015" "Marquette" "BE" 32 13 19 0.40625 0.7237 -4.7 64.3 104 95.6 1.08786610878661 49.8 49.2 1.01219512195122 19.3 21 0.919047619047619 29 36.4 35.8 30.3 1.18151815181518 48.8 46.4 34.4 36 1917 103 2653 0.619 33 3 1 "no_postseason" "no"
"2015" "Marshall" "CUSA" 30 9 21 0.3 0.301 -14.7 70.4 94.8 102 0.929411764705882 46.2 48.6 0.950617283950617 21.6 18.6 1.16129032258065 28.2 32.5 34.9 36.6 0.953551912568306 45.9 49.1 31.1 31.7 1919 96 2475 0.572 6 0 0 "no_postseason" "no"
"2015" "Maryland" "B10" 35 28 7 0.8 0.8619 6.9 64.5 110.2 94 1.17234042553191 51.2 45.5 1.12527472527473 18.9 17.2 1.09883720930233 28.9 30.5 44.5 28.1 1.58362989323843 48 44.1 37.6 31.8 1924 97 2611 0.603 28 2 1 "R32" "yes"
"2015" "Maryland_Eastern_Shore" "MEAC" 33 18 15 0.545454545454545 0.3351 -8.7 64.9 100.9 107.1 0.942110177404295 51.7 51.1 1.01174168297456 23.4 21.3 1.09859154929577 35.5 31.9 47 41.1 1.14355231143552 48.9 52.6 38.2 32.4 1987 34 990 0.399 2 0 0 "no_postseason" "no"
"2015" "Massachusetts" "A10" 32 17 15 0.53125 0.6047 -4.9 67.8 104.5 100.7 1.0377358490566 47.3 48.7 0.971252566735113 20.5 17.5 1.17142857142857 34 31.3 42.4 35.2 1.20454545454545 48.4 47.1 29.6 35 1926 61 1745 0.545 9 1 0 "no_postseason" "no"
"2015" "McNeese_St." "Slnd" 27 11 16 0.407407407407407 0.2258 -11.2 63.3 99.2 110.4 0.898550724637681 46.4 51.9 0.89402697495183 16 18.5 0.864864864864865 33.7 34.4 30.9 34.9 0.885386819484241 45.9 53.1 31.6 33.1 1974 47 1339 0.476 2 0 0 "no_postseason" "no"
"2015" "Memphis" "Amer" 32 18 14 0.5625 0.7509 -5.4 66.6 104.7 95.1 1.10094637223975 48.4 44.4 1.09009009009009 20.2 19.2 1.05208333333333 37 31.6 31.6 38.7 0.816537467700258 48.1 43.8 32.8 30.4 1956 65 1958 0.669 25 3 0 "no_postseason" "no"
