"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "POSTSEASON" "post"
"Abilene_Christian" "Slnd" 30 27 3 0.9 0.5064 -2.6 67.1 100.9 100.7 1.00198609731877 51.9 49.8 1.0421686746988 17.3 23.3 0.742489270386266 27 28.5 34 38.3 0.887728459530026 49.5 49.8 37.7 33.3 1971 10 276 0.489 1 0 0 "R64" "yes"
"Air_Force" "MWC" 31 14 17 0.451612903225806 0.3295 -10.8 67.8 99.7 106.1 0.939679547596607 51.3 53.6 0.957089552238806 19.3 17.8 1.08426966292135 23.2 24.1 28.3 28.6 0.989510489510489 53.1 53.6 32.3 35.7 1958 62 1685 0.437 4 0 0 "no_postseason" "no"
"Akron" "MAC" 31 17 14 0.548387096774194 0.6586 -8.1 67.5 98.4 92.9 1.05920344456405 48.2 45.5 1.05934065934066 17.3 19.1 0.905759162303665 25.1 29.9 27.7 30.6 0.905228758169935 48.8 46.1 31.7 29.6 1902 69 1575 0.589 4 0 0 "no_postseason" "no"
"Alabama" "SEC" 34 18 16 0.529411764705882 0.7931 -0.2 70.1 107.4 95.6 1.1234309623431 50.3 48.9 1.02862985685072 19.5 16.9 1.15384615384615 31.5 28 38 29.6 1.28378378378378 49.9 48.5 34 33.3 2000 21 591 0.384 1 0 0 "no_postseason" "no"
"Alabama_A&M" "SWAC" 32 5 27 0.15625 0.0692 -22.6 67.1 87.2 109.3 0.797804208600183 45.8 53.7 0.852886405959032 22.3 21 1.06190476190476 28 32.1 25.1 38.8 0.646907216494845 45 54.1 31.6 35.3 1913 107 2737 0.615 21 0 0 "no_postseason" "no"
"Alabama_St." "SWAC" 29 12 17 0.413793103448276 0.1156 -13.7 68.5 93.6 111.7 0.837958818263205 46.1 53 0.869811320754717 21 21.2 0.990566037735849 31.6 32.4 37.4 36.9 1.01355013550135 44.7 53.6 32.1 34.7 1983 38 1109 0.481 4 0 0 "no_postseason" "no"
"Albany" "AE" 31 12 19 0.387096774193548 0.2683 -15.7 67.3 97.9 106.8 0.916666666666667 49.3 52.1 0.946257197696737 20.9 18.5 1.12972972972973 27.3 28.3 32.5 30.2 1.07615894039735 46.9 51 34.8 35.9 2000 21 641 0.498 5 0 0 "no_postseason" "no"
"Alcorn_St." "SWAC" 27 10 17 0.37037037037037 0.0628 -16.7 67.1 89 112.6 0.790408525754885 45.7 52.7 0.867172675521822 24.1 18.2 1.32417582417582 30.1 31.5 30.5 36.5 0.835616438356164 45 55.3 31.3 32.1 1978 43 1256 0.431 6 0 0 "no_postseason" "no"
"American" "Pat" 30 15 15 0.5 0.4497 -11.3 67.9 101.7 103.5 0.982608695652174 53.2 48.2 1.10373443983402 18.7 17.7 1.05649717514124 26.1 27.4 35.8 34.8 1.02873563218391 55.6 50 32.5 29.2 1967 54 1515 0.49 3 0 0 "no_postseason" "no"
"Appalachian_St." "SB" 29 11 18 0.379310344827586 0.4322 -13.9 72.8 105.5 108 0.976851851851852 51.4 53.8 0.955390334572491 17.8 17.4 1.02298850574713 25.9 29.8 37 34.1 1.08504398826979 51.3 52.8 34.4 37.3 1974 47 1366 0.487 2 0 0 "no_postseason" "no"
