"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "POSTSEASON" "post"
"Abilene_Christian" "Slnd" 25 13 12 0.52 0.245 -12.5 67.1 97.5 107.5 0.906976744186046 52.5 52.8 0.994318181818182 21 21.4 0.981308411214953 23 31.7 34.7 44.3 0.783295711060948 50.7 52.1 37.1 36.1 1971 10 276 0.489 1 0 0 "no_postseason" "no"
"Air_Force" "MWC" 31 12 19 0.387096774193548 0.3854 -14.1 68.4 103.1 107.3 0.960857409133271 49.8 54.6 0.912087912087912 17.9 17.5 1.02285714285714 26.5 24.6 37.4 32.6 1.14723926380368 47 54.4 36.2 36.6 1958 62 1685 0.437 4 0 0 "no_postseason" "no"
"Akron" "MAC" 35 27 8 0.771428571428571 0.6488 -1.9 67.4 111.1 105.4 1.05407969639469 55.1 51 1.08039215686275 17.2 16.7 1.02994011976048 29.4 27.9 37.3 32.9 1.13373860182371 55 49 36.8 36.8 1902 69 1575 0.589 4 0 0 "no_postseason" "no"
"Alabama" "SEC" 34 19 15 0.558823529411765 0.8142 -1.8 66.6 104.4 91.8 1.13725490196078 48.2 46.1 1.04555314533623 20.4 19.8 1.03030303030303 34.1 26.6 39.1 39.9 0.979949874686717 48.7 44.2 31.7 33.3 2000 21 591 0.384 1 0 0 "no_postseason" "no"
"Alabama_A&M" "SWAC" 29 2 27 0.0689655172413793 0.0266 -24 65.7 90.4 123.6 0.731391585760518 44.3 53.7 0.824953445065177 19.8 14 1.41428571428571 29.3 36.2 39.5 33.7 1.17210682492582 45.6 53.2 27.5 36.3 1913 107 2737 0.615 21 0 0 "no_postseason" "no"
"Alabama_St." "SWAC" 30 8 22 0.266666666666667 0.0625 -19.2 70 90.2 114.1 0.790534618755478 44.3 50.3 0.880715705765408 22 18 1.22222222222222 34.5 31.8 34.6 42.6 0.812206572769953 44.4 49.7 29.4 34.5 1983 38 1109 0.481 4 0 0 "no_postseason" "no"
"Albany" "AE" 34 21 13 0.617647058823529 0.5911 -6.9 65.5 107.1 103.7 1.0327868852459 51.7 51.2 1.009765625 18.3 17.5 1.04571428571429 33 23.6 33.4 31.4 1.06369426751592 50.3 50.7 37.1 34.7 2000 21 641 0.498 5 0 0 "no_postseason" "no"
"Alcorn_St." "SWAC" 29 18 11 0.620689655172414 0.1906 -9.7 69 94.1 106.7 0.881911902530459 47.9 47.3 1.01268498942918 20.4 18.6 1.09677419354839 31.9 31.2 32.8 39.8 0.824120603015075 47.9 48.3 32 30.2 1978 43 1256 0.431 6 0 0 "no_postseason" "no"
"American" "Pat" 30 8 22 0.266666666666667 0.1874 -16.4 66 94.7 107.6 0.880111524163569 50.3 52.5 0.958095238095238 20.2 20.2 1 21.7 28 30.7 41.4 0.741545893719807 51.7 51.4 31.8 36.6 1967 54 1515 0.49 3 0 0 "no_postseason" "no"
"Appalachian_St." "SB" 28 9 19 0.321428571428571 0.2859 -14.8 71.7 99.3 107.5 0.923720930232558 47.4 52.8 0.897727272727273 19.4 16.9 1.14792899408284 28.9 27.2 37.1 44.8 0.828125 46.3 50.5 32.7 39 1974 47 1366 0.487 2 0 0 "no_postseason" "no"
"Arizona" "P12" 37 32 5 0.864864864864865 0.9157 7.9 67.1 117.6 95.6 1.23012552301255 53.7 47.7 1.12578616352201 16.6 17.4 0.954022988505747 33.2 26 40.5 28.6 1.41608391608392 51.5 48.4 39 31 1905 113 2735 0.657 35 4 1 "S16" "yes"
"Arizona_St." "P12" 33 15 18 0.454545454545455 0.6007 -6.3 71.7 110.9 107 1.03644859813084 51.4 55.4 0.927797833935018 14.3 18.3 0.781420765027322 24.4 32.2 31.9 29.9 1.06688963210702 48.7 55.9 36.6 36.4 1912 105 2552 0.532 16 0 0 "no_postseason" "no"
"Arkansas" "SEC" 36 26 10 0.722222222222222 0.8339 3.9 71 114.9 99.8 1.15130260521042 51.4 47.8 1.07531380753138 16.6 18.5 0.897297297297297 31.9 34.2 38.1 39.1 0.974424552429668 50 46.7 36.5 33.2 1924 97 2655 0.64 32 6 1 "R32" "yes"
"Arkansas_Pine_Bluff" "SWAC" 30 6 24 0.2 0.0396 -20.2 69 84 110.8 0.75812274368231 46 52.2 0.881226053639847 25.9 23.5 1.10212765957447 29.9 35.4 32.8 58.5 0.560683760683761 42.9 54.3 34.4 32.6 1999 22 649 0.302 1 0 0 "no_postseason" "no"
"Arkansas_St." "SB" 31 20 11 0.645161290322581 0.5673 -5.7 68.7 104.9 102.4 1.0244140625 51.9 49.2 1.05487804878049 18.6 18.8 0.98936170212766 31 27.5 41.5 41.8 0.992822966507177 49.7 49.8 37.7 32 1971 50 1434 0.514 1 0 0 "no_postseason" "no"
"Army" "Pat" 31 13 18 0.419354838709677 0.3065 -13.6 72.7 97.1 104.3 0.930968360498562 51.5 50.3 1.02385685884692 20.6 17.3 1.19075144508671 26.4 24 28 33.7 0.830860534124629 50.7 50.1 35.1 33.8 1903 118 2501 0.496 0 0 0 "no_postseason" "no"
"Auburn" "SEC" 32 18 14 0.5625 0.7425 -2.4 75.2 112.4 102.5 1.09658536585366 51.1 50.6 1.0098814229249 17.9 19.9 0.899497487437186 30.3 33.3 42.5 38.8 1.09536082474227 48.5 48.7 36.6 35.7 1906 114 2580 0.534 10 1 0 "no_postseason" "no"
"Austin_Peay" "OVC" 28 11 17 0.392857142857143 0.2169 -13.8 71.3 104.5 116.9 0.893926432848589 52.4 56.4 0.929078014184397 17.3 17.6 0.982954545454545 24.2 35.8 41 29.5 1.38983050847458 52.2 56.9 35.2 37 1964 57 1621 0.5 7 0 0 "no_postseason" "no"
