"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "POSTSEASON" "post"
"Penn" "Ivy" 32 24 8 0.75 0.6644 -3.3 70.1 103.6 97.6 1.06147540983607 52.9 47 1.12553191489362 16.6 17 0.976470588235294 23.8 22.6 33.4 31.8 1.05031446540881 53.3 48 34.8 30 1897 119 2906 0.617 24 1 0 "R64" "yes"
"Penn_St." "B10" 39 26 13 0.666666666666667 0.9148 -0.5 68.7 115 93.6 1.22863247863248 52.6 48.3 1.08902691511387 17.3 19.5 0.887179487179487 31.7 28.2 31.5 32.1 0.981308411214953 49.8 46.7 38.7 34.2 1897 124 2677 0.556 9 1 0 "no_postseason" "no"
"Pepperdine" "WCC" 31 6 25 0.193548387096774 0.3236 -17.9 68.6 105.1 112 0.938392857142857 49.5 57 0.868421052631579 17.2 15.5 1.10967741935484 28.5 26.4 35.2 33.5 1.05074626865672 48.8 54.7 34.2 40.1 1944 66 1881 0.497 13 0 0 "no_postseason" "no"
"Pittsburgh" "ACC" 32 8 24 0.25 0.3571 -10.9 66.5 98.2 103.3 0.950629235237173 48.2 50.1 0.962075848303393 20.9 16.6 1.25903614457831 22.7 34.8 31.9 31.3 1.01916932907348 47.8 50.1 32.5 33.4 1906 113 2799 0.581 26 1 0 "no_postseason" "no"
"Portland" "WCC" 29 10 19 0.344827586206897 0.2856 -14.4 68.3 98.9 107.2 0.922574626865672 50.6 52.4 0.965648854961832 18.1 15.8 1.14556962025316 19.2 31.4 34.6 33.5 1.03283582089552 46.5 51.7 38.3 35.7 1954 67 1881 0.422 2 0 0 "no_postseason" "no"
"Portland_St." "BSky" 31 20 11 0.645161290322581 0.494 -6.8 75.7 106.8 107 0.998130841121495 49.2 55 0.894545454545455 16.5 22 0.75 34.7 30.5 33.3 43.3 0.76905311778291 48.9 54 33.2 38 1973 31 883 0.488 2 0 0 "no_postseason" "no"
"Prairie_View_A&M" "SWAC" 33 16 17 0.484848484848485 0.2483 -11.7 72.1 100.1 110.2 0.908348457350272 48.9 52.7 0.927893738140417 18.5 22.5 0.822222222222222 31.3 32.8 39.2 47.9 0.818371607515658 49.2 54.4 32.3 33.2 1981 40 1150 0.291 2 0 0 "no_postseason" "no"
"Presbyterian" "BSth" 29 11 18 0.379310344827586 0.1144 -16.2 64.6 96.5 115.3 0.836947094535993 49 55.3 0.886075949367089 18.8 17.8 1.0561797752809 24.9 30 28 29.3 0.955631399317406 46.8 55.5 34.6 36.7 2011 10 301 0.346 0 0 0 "no_postseason" "no"
"Princeton" "Ivy" 28 13 15 0.464285714285714 0.4689 -10.1 65.6 104.9 106.1 0.988689915174364 53.9 52.2 1.03256704980843 16.4 16.6 0.987951807228916 22 24.8 26.2 32.5 0.806153846153846 52.1 51.2 37.3 35.9 1901 120 2850 0.615 25 1 0 "no_postseason" "no"
"Providence" "BE" 35 21 14 0.6 0.8027 1.9 68.3 108.4 95.9 1.1303441084463 49.6 50.3 0.986083499005964 17.4 19 0.91578947368421 28.9 29 38.6 31.8 1.21383647798742 49.5 51.5 33.2 32.2 1929 71 2035 0.611 20 2 0 "R64" "yes"
